"公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives"
"专业核心课程Specialized CoreCourse","计算机图形学Computer Graphics","必修Compulsory","2","null","第 5 学期5ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","1.4，3.3","null"
"专业核心课程Specialized CoreCourse","计算机图形学实验Experiments forComputer Graphics","必修Compulsory","1","1","第 5 学期5ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","5.2，5.3","null"
"专业核心课程Specialized CoreCourse","智能嵌入式系统设计Intelligent EmbeddedSystem Design","必修Compulsory","2","null","第 6 学期6ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","1.4，2.4，11.2","必须包含课程设计，完成有一定规模的系统设计与开发。Courseprojects must be included, in which the student must complete the design and development of systems of a certainscale."
"专业核心课程Specialized CoreCourse","智能嵌入式系统设计实验Intelligent EmbeddedSystem Design Experiment","必修Compulsory","1","1","第 6 学期6ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","2.4，3.3","必须包含课程设计，完成有一定规模的系统设计与开发。Courseprojects must be included, in which the student must complete the design and development of systems of a certainscale."
"专业核心课程Specialized CoreCourse","软件系统设计与应用Design and applicationof software system","必修Compulsory","4","1","第 6 学期6ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","1.3，3.4，9.2，11.1，11.2","必须包含课程设计，完成有一定规模的系统设计与开发。Courseprojects must be included, in which the student must complete the design and development of systems of a certainscale."
"专业核心课程Specialized CoreCourse","人工智能Artificial Intelligence","必修Compulsory","2","null","第 7 学期7ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","4.2，4.3，5.3，12.1","null"
"null","数据挖掘Data Mining","必修Compulsory","2","null","第 7 学期7ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","4.2，4.3，5.3，12.1","null"
"null","数字图像处理Digital image processing","必修Compulsory","2","null","第 7 学期7ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","4.2，4.3，5.3，12.1","null"
"专业限修课程SpecializedRestricted Courses","互联网搜索引擎Internet search engine","限修DistributionalElective","3","1","第 6 学期6ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","1.4，3.1，3.3，12.1","限修 6 学分（专业限选1 组）Limited to 6credits"
"专业限修课程SpecializedRestricted Courses","人机交互与动漫游戏Human-ComputerInteraction and Animation Games","限修DistributionalElective","3","1","第 6 学期6ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","1.4，3.1，3.3，12.1","限修 6 学分（专业限选1 组）Limited to 6credits"
"专业限修课程SpecializedRestricted Courses","机器学习 B machine learning B","限修DistributionalElective","2","null","第 6 学期6ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","1.4，3.1，3.3，12.1","限修 6 学分（专业限选1 组）Limited to 6credits"
"专业限修课程SpecializedRestricted Courses","机器学习实验※ Machine LearningExperiment","限修DistributionalElective","1","1","第 6 学期6ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","1.4，3.1，3.3，12.1","限修 6 学分（专业限选1 组）Limited to 6credits"
"专业限修课程SpecializedRestricted Courses","网络编程技术Network ProgrammingTechnology","限修DistributionalElective","3","1","第 6 学期6ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","1.4，3.1，3.3，12.1","限修 6 学分（专业限选1 组）Limited to 6credits"
"专业限修课程SpecializedRestricted Courses","网络工程与设计Network Engineeringand Design","限修DistributionalElective","2","null","第 7 学期7ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","2.3，3.4，7.2，11.2，12.2","限修 4 学分（专业限选2 组）Limited to 4credits"
"专业限修课程SpecializedRestricted Courses","云计算与并行技术Cloud computing andparallel technologies","限修DistributionalElective","2","null","第 7 学期7ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","2.3，3.4，7.2，11.2，12.2","限修 4 学分（专业限选2 组）Limited to 4credits"
"专业限修课程SpecializedRestricted Courses","机器人技术Robot technology","限修DistributionalElective","2","null","第 7 学期7ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","2.3，3.4，7.2，11.2，12.2","限修 4 学分（专业限选2 组）Limited to 4credits"
"实习实践教学Practice Course共 19 学分，其中必修 19 学分，限修 0 学分，选修 0 学分A total credits of 19，including 19 for compulsory courses，0 for distributional electives and 0 for free electives","实习实践教学Practice Course共 19 学分，其中必修 19 学分，限修 0 学分，选修 0 学分A total credits of 19，including 19 for compulsory courses，0 for distributional electives and 0 for free electives","实习实践教学Practice Course共 19 学分，其中必修 19 学分，限修 0 学分，选修 0 学分A total credits of 19，including 19 for compulsory courses，0 for distributional electives and 0 for free electives","实习实践教学Practice Course共 19 学分，其中必修 19 学分，限修 0 学分，选修 0 学分A total credits of 19，including 19 for compulsory courses，0 for distributional electives and 0 for free electives","实习实践教学Practice Course共 19 学分，其中必修 19 学分，限修 0 学分，选修 0 学分A total credits of 19，including 19 for compulsory courses，0 for distributional electives and 0 for free electives","实习实践教学Practice Course共 19 学分，其中必修 19 学分，限修 0 学分，选修 0 学分A total credits of 19，including 19 for compulsory courses，0 for distributional electives and 0 for free electives","实习实践教学Practice Course共 19 学分，其中必修 19 学分，限修 0 学分，选修 0 学分A total credits of 19，including 19 for compulsory courses，0 for distributional electives and 0 for free electives","实习实践教学Practice Course共 19 学分，其中必修 19 学分，限修 0 学分，选修 0 学分A total credits of 19，including 19 for compulsory courses，0 for distributional electives and 0 for free electives","实习实践教学Practice Course共 19 学分，其中必修 19 学分，限修 0 学分，选修 0 学分A total credits of 19，including 19 for compulsory courses，0 for distributional electives and 0 for free electives"
"课程类型Course Type","课程名称Course Name","课程性质Nature ofCourse","总学分Credits","课内实践学分 In-classpractice credits","开课学期Semester","开课学院School","支撑毕业要求指标点 Indicatorswhich Support GraduationRequirements","备注Notes"
"基本技能训练、实习实训、综合课程设计、社会与文化素质实 践、毕业实习与毕业设计Basic SkillsTraining, Practical Training, Integrated CurriculumDesign, Social andCultural Quality Practice, GraduationInternship and GraduationDesign","软件设计实习Software designinternship","必修Compulsory","2","2","短 1 学期ShortSemester 1","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","5.2，7.1，8.3，11.1，11.2","null"
"基本技能训练、实习实训、综合课程设计、社会与文化素质实 践、毕业实习与毕业设计Basic SkillsTraining, Practical Training, Integrated CurriculumDesign, Social andCultural Quality Practice, GraduationInternship and GraduationDesign","电子工艺实习Practice on ElectronicWorking Technics","必修Compulsory","1","1","短 2 学期ShortSemester 2","信息科学与技术学院 School of InformationScience and Technology","5.1，8.3","null"
"基本技能训练、实习实训、综合课程设计、社会与文化素质实 践、毕业实习与毕业设计Basic SkillsTraining, Practical Training, Integrated CurriculumDesign, Social andCultural Quality Practice, GraduationInternship and GraduationDesign","电子技术课程设计Course Project inElectronic Technology","必修Compulsory","1","1","短 2 学期ShortSemester 2","信息科学与技术学院 School of InformationScience and Technology","3.2，8.3，10.2","null"
"基本技能训练、实习实训、综合课程设计、社会与文化素质实 践、毕业实习与毕业设计Basic SkillsTraining, Practical Training, Integrated CurriculumDesign, Social andCultural Quality Practice, GraduationInternship and GraduationDesign","计算机科学与技术专业工程实习Engineering InternshipofComputer Science and Technology Major","必修Compulsory","2","2","短 3 学期ShortSemester 3","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","3.3，6.2，7.2，9.2，11.1","null"
"基本技能训练、实习实训、综合课程设计、社会与文化素质实 践、毕业实习与毕业设计Basic SkillsTraining, Practical Training, Integrated CurriculumDesign, Social andCultural Quality Practice, GraduationInternship and GraduationDesign","毕业设计 A Diploma project A","必修Compulsory","13","13","第 8 学期8ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","2.3，3.3，3.4，4.3，5.3，6.2，7.2，10.1，10.2，11.1，12.1，12.2","null"
"多元化课程Diversified course共 4 学分，其中必修 0 学分，限修 4 学分，选修 0 学分A total credits of 4，including 0 for compulsory courses，4 for distributional electives and 0 for free electives","多元化课程Diversified course共 4 学分，其中必修 0 学分，限修 4 学分，选修 0 学分A total credits of 4，including 0 for compulsory courses，4 for distributional electives and 0 for free electives","多元化课程Diversified course共 4 学分，其中必修 0 学分，限修 4 学分，选修 0 学分A total credits of 4，including 0 for compulsory courses，4 for distributional electives and 0 for free electives","多元化课程Diversified course共 4 学分，其中必修 0 学分，限修 4 学分，选修 0 学分A total credits of 4，including 0 for compulsory courses，4 for distributional electives and 0 for free electives","多元化课程Diversified course共 4 学分，其中必修 0 学分，限修 4 学分，选修 0 学分A total credits of 4，including 0 for compulsory courses，4 for distributional electives and 0 for free electives","多元化课程Diversified course共 4 学分，其中必修 0 学分，限修 4 学分，选修 0 学分A total credits of 4，including 0 for compulsory courses，4 for distributional electives and 0 for free electives","多元化课程Diversified course共 4 学分，其中必修 0 学分，限修 4 学分，选修 0 学分A total credits of 4，including 0 for compulsory courses，4 for distributional electives and 0 for free electives","多元化课程Diversified course共 4 学分，其中必修 0 学分，限修 4 学分，选修 0 学分A total credits of 4，including 0 for compulsory courses，4 for distributional electives and 0 for free electives","多元化课程Diversified course共 4 学分，其中必修 0 学分，限修 4 学分，选修 0 学分A total credits of 4，including 0 for compulsory courses，4 for distributional electives and 0 for free electives"
"课程类型Course Type","课程名称Course Name","课程性质Nature ofCourse","总学分Credits","课内实践学分 In-classpractice credits","开课学期Semester","开课学院School","支撑毕业要求指标点 Indicatorswhich Support GraduationRequirements","备注Notes"
"跨学科课程InterdisciplinaryCourses","电子机械动起来Play with electronics andmachinery","限修Distributionalelectives","2","2","第 5 学期5ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","2.3，6.2，9.2 ，12.2","限修 4 学分limited to 4credits"
"跨学科课程InterdisciplinaryCourses","从代码到实物：造你所想From code toimplementation: make what you want","限修Distributionalelectives","2","2","第 4 学期4ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","2.3，6.2，9.2 ，12.2","限修 4 学分limited to 4credits"
"跨学科课程InterdisciplinaryCourses","区块链技术及应用BlockChain Technologyand Application","限修Distributionalelectives","2","null","第 6 学期6ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","2.3，6.2，9.2 ，12.2","限修 4 学分limited to 4credits"
"null","现代铁路信息技术InformationTechnology for Modern Railway","null","2","null","第 6 学期6thSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","2.3，6.2，9.2 ，12.2","null"
"创新创业实践Innovation and Entrepreneurship Practice共 2 学分，其中必修 2 学分，限修 0 学分，选修 0 学分A total credits of 2，including 2 for compulsory courses，0 for distributional electives and 0 for free electives","创新创业实践Innovation and Entrepreneurship Practice共 2 学分，其中必修 2 学分，限修 0 学分，选修 0 学分A total credits of 2，including 2 for compulsory courses，0 for distributional electives and 0 for free electives","创新创业实践Innovation and Entrepreneurship Practice共 2 学分，其中必修 2 学分，限修 0 学分，选修 0 学分A total credits of 2，including 2 for compulsory courses，0 for distributional electives and 0 for free electives","创新创业实践Innovation and Entrepreneurship Practice共 2 学分，其中必修 2 学分，限修 0 学分，选修 0 学分A total credits of 2，including 2 for compulsory courses，0 for distributional electives and 0 for free electives","创新创业实践Innovation and Entrepreneurship Practice共 2 学分，其中必修 2 学分，限修 0 学分，选修 0 学分A total credits of 2，including 2 for compulsory courses，0 for distributional electives and 0 for free electives","创新创业实践Innovation and Entrepreneurship Practice共 2 学分，其中必修 2 学分，限修 0 学分，选修 0 学分A total credits of 2，including 2 for compulsory courses，0 for distributional electives and 0 for free electives","创新创业实践Innovation and Entrepreneurship Practice共 2 学分，其中必修 2 学分，限修 0 学分，选修 0 学分A total credits of 2，including 2 for compulsory courses，0 for distributional electives and 0 for free electives","创新创业实践Innovation and Entrepreneurship Practice共 2 学分，其中必修 2 学分，限修 0 学分，选修 0 学分A total credits of 2，including 2 for compulsory courses，0 for distributional electives and 0 for free electives","创新创业实践Innovation and Entrepreneurship Practice共 2 学分，其中必修 2 学分，限修 0 学分，选修 0 学分A total credits of 2，including 2 for compulsory courses，0 for distributional electives and 0 for free electives"
"课程类型Course Type","课程名称Course Name","课程性质Nature ofCourse","总学分Credits","课内实践学分 In-classpractice credits","开课学期Semester","开课学院School","支撑毕业要求指标点 Indicatorswhich Support GraduationRequirements","备注Notes"
"创新创业训练计划项目、个性化实验、学科竞 赛、创新讲座等Innovation andEntrepreneurship TrainingProgram, Personalized Experiments,Subject Competition, Innovation Lectures, etc","课外创新实践Extracurricularinnovative practice","必修Compulsory","2","2","3-8 学期3-8Semester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","null","按照《西南交通大学创新实践学分认定与管理办法》规定修习Study inaccordance with theRegulations on CreditRecognition and Management of Innovation Practice in SouthwestJiaotong University"
"必修环节A compulsory part共 0 学分，其中必修 0 学分，限修 0 学分，选修 0 学分A total credits of 0，including 0 for compulsory courses，0 for distributional electives and 0 for free electives","必修环节A compulsory part共 0 学分，其中必修 0 学分，限修 0 学分，选修 0 学分A total credits of 0，including 0 for compulsory courses，0 for distributional electives and 0 for free electives","必修环节A compulsory part共 0 学分，其中必修 0 学分，限修 0 学分，选修 0 学分A total credits of 0，including 0 for compulsory courses，0 for distributional electives and 0 for free electives","必修环节A compulsory part共 0 学分，其中必修 0 学分，限修 0 学分，选修 0 学分A total credits of 0，including 0 for compulsory courses，0 for distributional electives and 0 for free electives","必修环节A compulsory part共 0 学分，其中必修 0 学分，限修 0 学分，选修 0 学分A total credits of 0，including 0 for compulsory courses，0 for distributional electives and 0 for free electives","必修环节A compulsory part共 0 学分，其中必修 0 学分，限修 0 学分，选修 0 学分A total credits of 0，including 0 for compulsory courses，0 for distributional electives and 0 for free electives","必修环节A compulsory part共 0 学分，其中必修 0 学分，限修 0 学分，选修 0 学分A total credits of 0，including 0 for compulsory courses，0 for distributional electives and 0 for free electives","必修环节A compulsory part共 0 学分，其中必修 0 学分，限修 0 学分，选修 0 学分A total credits of 0，including 0 for compulsory courses，0 for distributional electives and 0 for free electives","必修环节A compulsory part共 0 学分，其中必修 0 学分，限修 0 学分，选修 0 学分A total credits of 0，including 0 for compulsory courses，0 for distributional electives and 0 for free electives"
"课程类型Course Type","课程名称Course Name","课程性质Nature ofCourse","总学分Credits","课内实践学分 In-classpractice credits","开课学期Semester","开课学院School","支撑毕业要求指标点 Indicatorswhich Support GraduationRequirements","备注Notes"
"大学生综合素质提升、学生体质达标测评 ComprehensiveQuality Improvement Courses forCollege Students, Assessment of Students'Physical Fitness","大学生综合素质提升（第二、第三课堂）Comprehensive QualityImprovement Courses for College Students（The Second and ThirdClassroom）","必修Compulsory","0","0","1-8 学期1-8Semester","校团委Communist YouthLeague Committee","6.1，8.2","null"
"大学生综合素质提升、学生体质达标测评 ComprehensiveQuality Improvement Courses forCollege Students, Assessment of Students'Physical Fitness","学生体质达标测评Assessment of Students'Physical Fitness","必修Compulsory","0","0","秋季学期fallSemester","体育部 Dept. of PhysicalEducation","null","null"
"学分总计Total Credits","学分总计Total Credits","学分总计Total Credits","161","161","161","161","161","161"
